strategy,domain0_total_ms,domain1_total_ms,bottleneck_ms,domain0_recv_ms,domain1_recv_ms,domain0_local_ms,domain1_local_ms
vanilla (3:1),15076.738000000003,14392.247999999998,15076.738000000003,14477.043,12662.839,132.79200000000006,647.6029999999995
striped (3:1),14758.557000000003,13947.789000000002,14758.557000000003,14140.454,12256.437,118.9539999999999,651.9400000000007
zigzag (3:1),15577.758999999995,14773.22199999999,15577.758999999995,14905.905999999999,13039.539999999997,128.879,656.3159999999997
vanilla (1:1),15121.972999999998,14516.188000000007,15121.972999999998,14423.519000000006,12803.977999999996,146.30600000000007,656.3480000000002
striped (1:1),15547.349999999997,14721.786999999997,15547.349999999997,14795.032000000001,12601.150000000007,133.17499999999993,661.6269999999993
zigzag (1:1),15330.974,14640.040999999992,15330.974,14674.709,12918.909000000003,131.54400000000007,650.6700000000001
