strategy,w0_total_ms,w0_recv_ms,w0_local_ms,w0_peer_ms,w0_samples,w1_total_ms,w1_recv_ms,w1_local_ms,w1_peer_ms,w1_samples
vanilla,15076.738000000003,14477.043,132.79200000000006,39.90300000000003,144,14392.247999999998,12662.839,647.6029999999995,299.925,144
striped,14758.557000000003,14140.454,118.9539999999999,63.39199999999999,144,13947.789000000002,12256.437,651.9400000000007,251.502,144
zigzag,15577.758999999995,14905.905999999999,128.879,47.51899999999999,144,14773.22199999999,13039.539999999997,656.3159999999997,293.5990000000002,144
